Name,Address,City,State,State_name,Zip,Sales,Number_emp,Empsiz
SCENTSIBILITIES,750 MAIN ST,BOYLSTON,MA,Massachusetts,01505,115,1,A
MODEL DAIRY,469 MAIN ST,BOYLSTON,MA,Massachusetts,01505,115,1,A
DUNKIN' DONUTS,270 SHREWSBURY ST,BOYLSTON,MA,Massachusetts,01505,840,15,C
MOBILE STATION,22 MAPLE AVE,SHREWSBURY,MA,Massachusetts,01545,896,4,A
HORTON'S SUPER MARKET,117 CLINTON ST,SHREWSBURY,MA,Massachusetts,01545,494,2,A
7-ELEVEN,38 MAPLE AVE,SHREWSBURY,MA,Massachusetts,01545,1344,6,B
DUNKIN' DONUTS,36 MAPLE AVE,SHREWSBURY,MA,Massachusetts,01545,1568,28,D
DONUT INN,574 MAIN ST,SHREWSBURY,MA,Massachusetts,01545,112,2,A
SHAW'S SUPERMARKET,50 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,34580,140,F
VITAMIN SHOPPE,77 BOSTON TPKE # A,SHREWSBURY,MA,Massachusetts,01545,604,4,A
TRADER JOE'S,77 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,14820,60,E
INDIA FOOD & GIFTS,264 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,247,1,A
BEAN COUNTER CAKE & PASTRY SHP,288 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,852,12,C
DUNKIN' DONUTS,118 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,1400,25,D
HONEY FARMS,98 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,1792,8,B
UTZ QUALITY FOODS INC,14 COMMERCE RD,SHREWSBURY,MA,Massachusetts,01545,988,4,A
PATEL BROTHERS OF SHREWSBURY,504 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,988,4,A
STOP & SHOP SUPERMARKET,539 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,24700,100,F
MICKEY'S MINI MART,507 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,448,2,A
SUPER STOP & SHOP,539 BOSTON TPKE,SHREWSBURY,MA,Massachusetts,01545,988,4,A
PRICE CHOPPER,380 MAPLE AVE,SHREWSBURY,MA,Massachusetts,01545,34580,140,F
PEPPERIDGE FARM,173 MEMORIAL DR,SHREWSBURY,MA,Massachusetts,01545,284,4,A
