Vehicle_ID,Year,Month,Day,Distance,Weight,CO2_emissions
14620,2016,1,1,47,10,0.0329
693,2016,1,2,63,9,0.0504
695,2016,1,2,53,9,0.0424
705,2016,1,2,58,7,0.0638
811,2016,1,2,64,5,0.096
833,2016,1,2,60,9,0.048
847,2016,1,2,67,9,0.0536
863,2016,1,2,44,5,0.066
868,2016,1,2,68,9,0.0544
868,2016,1,2,43,10,0.0301
873,2016,1,2,64,6,0.0832
881,2016,1,2,42,5,0.063
889,2016,1,2,50,6,0.065
909,2016,1,2,101,6,0.1313
911,2016,1,2,62,6,0.0806
912,2016,1,2,59,6,0.0767
913,2016,1,2,71,9,0.0568
915,2016,1,2,52,6,0.0676
915,2016,1,2,53,5,0.0795
916,2016,1,2,59,6,0.0767
931,2016,1,2,55,8,0.0495
933,2016,1,2,58,8,0.0522
944,2016,1,2,77,5,0.1155
947,2016,1,2,51,10,0.0357
956,2016,1,2,51,9,0.0408
957,2016,1,2,68,5,0.102
957,2016,1,2,56,5,0.084
957,2016,1,2,49,6,0.0637
1004,2016,1,2,62,6,0.0806
1011,2016,1,2,74,5,0.111
1022,2016,1,2,66,7,0.0726
1023,2016,1,2,63,10,0.0441
1023,2016,1,2,72,8,0.0648
1024,2016,1,2,57,7,0.0627
1025,2016,1,2,55,6,0.0715
1025,2016,1,2,64,8,0.0576
1026,2016,1,2,59,10,0.0413
1030,2016,1,2,60,8,0.054
1031,2016,1,2,52,6,0.0676
1040,2016,1,2,61,7,0.0671
1041,2016,1,2,46,10,0.0322
1042,2016,1,2,48,5,0.072
1054,2016,1,2,47,8,0.0423
1055,2016,1,2,47,8,0.0423
1081,2016,1,2,65,5,0.0975
1081,2016,1,2,62,7,0.0682
1081,2016,1,2,66,10,0.0462
1204,2016,1,2,60,5,0.09
1205,2016,1,2,72,6,0.0936
1206,2016,1,2,68,8,0.0612
1207,2016,1,2,63,10,0.0441
1207,2016,1,2,48,9,0.0384
1211,2016,1,2,46,7,0.0506
1215,2016,1,2,55,9,0.044
1216,2016,1,2,58,8,0.0522
1217,2016,1,2,55,10,0.0385
1224,2016,1,2,55,8,0.0495
1240,2016,1,2,48,8,0.0432
1240,2016,1,2,62,6,0.0806
1241,2016,1,2,69,10,0.0483
1243,2016,1,2,51,7,0.0561
1243,2016,1,2,65,10,0.0455
1244,2016,1,2,55,5,0.0825
1245,2016,1,2,68,10,0.0476
1249,2016,1,2,46,10,0.0322
1249,2016,1,2,51,7,0.0561
1250,2016,1,2,73,10,0.0511
1251,2016,1,2,74,10,0.0518
1253,2016,1,2,57,6,0.0741
1253,2016,1,2,94,7,0.1034
1264,2016,1,2,66,7,0.0726
1290,2016,1,2,79,5,0.1185
1291,2016,1,2,51,10,0.0357
1303,2016,1,2,62,7,0.0682
1308,2016,1,2,66,6,0.0858
1309,2016,1,2,52,8,0.0468
1312,2016,1,2,62,7,0.0682
1312,2016,1,2,70,6,0.091
1313,2016,1,2,76,6,0.0988
1313,2016,1,2,56,5,0.084
1313,2016,1,2,48,9,0.0384
1320,2016,1,2,41,8,0.0369
1321,2016,1,2,69,9,0.0552
1322,2016,1,2,42,9,0.0336
1323,2016,1,2,62,7,0.0682
1323,2016,1,2,58,6,0.0754
1324,2016,1,2,66,5,0.099
1325,2016,1,2,65,6,0.0845
1325,2016,1,2,56,7,0.0616
1327,2016,1,2,53,7,0.0583
1327,2016,1,2,60,7,0.066
1327,2016,1,2,49,7,0.0539
1328,2016,1,2,67,5,0.1005
1329,2016,1,2,59,6,0.0767
1329,2016,1,2,59,5,0.0885
1330,2016,1,2,72,6,0.0936
1330,2016,1,2,64,10,0.0448
1345,2016,1,2,52,7,0.0572
1363,2016,1,2,53,7,0.0583
1364,2016,1,2,70,5,0.105
1365,2016,1,2,49,6,0.0637
1365,2016,1,2,67,10,0.0469
1366,2016,1,2,59,5,0.0885
1367,2016,1,2,64,6,0.0832
1367,2016,1,2,68,7,0.0748
1370,2016,1,2,63,8,0.0567
1372,2016,1,2,66,8,0.0594
1382,2016,1,2,63,6,0.0819
1382,2016,1,2,56,9,0.0448
1382,2016,1,2,54,10,0.0378
1383,2016,1,2,44,9,0.0352
1383,2016,1,2,54,7,0.0594
1385,2016,1,2,65,9,0.052
1388,2016,1,2,78,5,0.117
1391,2016,1,2,65,9,0.052
1391,2016,1,2,62,7,0.0682
1392,2016,1,2,50,6,0.065
1393,2016,1,2,63,7,0.0693
1410,2016,1,2,75,5,0.1125
1410,2016,1,2,70,8,0.063
1410,2016,1,2,59,6,0.0767
1411,2016,1,2,64,6,0.0832
1412,2016,1,2,68,6,0.0884
1415,2016,1,2,63,10,0.0441
1419,2016,1,2,78,9,0.0624
1420,2016,1,2,54,10,0.0378
1422,2016,1,2,62,5,0.093
1435,2016,1,2,81,5,0.1215
1436,2016,1,2,76,10,0.0532
1436,2016,1,2,60,9,0.048
1437,2016,1,2,54,5,0.081
1438,2016,1,2,69,7,0.0759
1439,2016,1,2,57,7,0.0627
1440,2016,1,2,68,5,0.102
1440,2016,1,2,42,8,0.0378
1440,2016,1,2,53,6,0.0689
1441,2016,1,2,81,7,0.0891
1441,2016,1,2,69,7,0.0759
1442,2016,1,2,57,7,0.0627
1457,2016,1,2,49,10,0.0343
1457,2016,1,2,42,6,0.0546
1459,2016,1,2,69,8,0.0621
1460,2016,1,2,41,6,0.0533
